codePoint,method,traceArgs,rasterSrcArgs,rasterDestArgs
0000,placeholder,,,
0001,placeholder,,,
0002,placeholder,,,
0003,placeholder,,,
0004,placeholder,,,
0005,placeholder,,,
0006,placeholder,,,
0007,placeholder,,,
0008,placeholder,,,
0009,placeholder,,,
000A,placeholder,,,
000B,placeholder,,,
000C,placeholder,,,
000D,placeholder,,,
000E,placeholder,,,
000F,placeholder,,,
0010,placeholder,,,
0011,placeholder,,,
0012,placeholder,,,
0013,placeholder,,,
0014,placeholder,,,
0015,placeholder,,,
0016,placeholder,,,
0017,placeholder,,,
0018,placeholder,,,
0019,placeholder,,,
001A,placeholder,,,
001B,placeholder,,,
001C,placeholder,,,
001D,placeholder,,,
001E,placeholder,,,
001F,placeholder,,,
0020,scale,,,
0021,trace,,detect,4x20+3+1
0022,trace,,detect,7x6+2+0
0023,trace,,detect,10x19+0+2
0024,trace,,detect,10x22+0+1
0025,trace,,detect,10x20+0+1
0026,trace,,detect,10x19+0+2
0027,trace,,detect,2x6+4+0
0028,trace,,detect,6x24+2+0
0029,trace,,detect,6x24+2+0
002A,trace,,detect,10x15+0+3
002B,trace,,detect,10x14+0+5
002C,trace,,detect,4x7+3+17
002D,trace,,detect,8x2+1+11
002E,trace,,detect,3x4+4+17
002F,trace,,detect,10x24+0+0
0030,trace,,detect,10x20+0+1
0031,trace,,detect,10x20+0+1
0032,trace,,detect,10x20+0+1
0033,trace,,detect,10x20+0+1
0034,trace,,detect,10x20+0+1
0035,trace,,detect,10x20+0+1
0036,trace,,detect,10x20+0+1
0037,trace,,detect,10x20+0+1
0038,trace,,detect,10x20+0+1
0039,trace,,detect,10x20+0+1
003A,trace,,detect,3x14+4+7
003B,trace,,detect,4x17+3+7
003C,trace,,detect,9x15+0+4
003D,trace,,detect,10x8+0+8
003E,trace,,detect,9x15+1+4
003F,trace,,detect,10x20+0+1
0040,trace,,detect,10x20+0+1
0041,trace,,detect,10x20+0+1
0042,trace,,detect,10x20+0+1
0043,trace,,detect,10x20+0+1
0044,trace,,detect,10x20+0+1
0045,trace,,detect,10x20+0+1
0046,trace,,detect,10x20+0+1
0047,trace,,detect,10x20+0+1
0048,trace,,detect,10x20+0+1
0049,trace,,detect,10x20+0+1
004A,trace,,detect,10x20+0+1
004B,trace,,detect,10x20+0+1
004C,trace,,detect,10x20+0+1
004D,trace,,detect,10x20+0+1
004E,trace,,detect,10x20+0+1
004F,trace,,detect,10x20+0+1
0050,trace,,detect,10x20+0+1
0051,trace,,detect,10x20+0+1
0052,trace,,detect,10x20+0+1
0053,trace,,detect,10x20+0+1
0054,trace,,detect,10x20+0+1
0055,trace,,detect,10x20+0+1
0056,trace,,detect,10x20+0+1
0057,trace,,detect,10x20+0+1
0058,trace,,detect,10x20+0+1
0059,trace,,detect,10x20+0+1
005A,trace,,detect,10x20+0+1
005B,trace,,detect,6x23+3+0
005C,trace,,detect,10x24+0+0
005D,trace,,detect,6x23+1+0
005E,trace,,detect,9x5+1+0
005F,trace,,detect,12x2+0+22
0060,trace,,detect,6x3+2+0
0061,trace,,detect,10x15+0+6
0062,trace,,detect,10x21+0+0
0063,trace,,detect,10x15+0+6
0064,trace,,detect,10x21+0+0
0065,trace,,detect,10x15+0+6
0066,trace,,detect,9x21+0+0
0067,trace,,detect,10x18+0+6
0068,trace,,detect,10x21+0+0
0069,trace,,detect,5x20+2+1
006A,trace,,detect,6x23+1+1
006B,trace,,detect,10x21+0+0
006C,trace,,detect,5x21+2+0
006D,trace,,detect,10x15+0+6
006E,trace,,detect,10x15+0+6
006F,trace,,detect,10x15+0+6
0070,trace,,detect,10x18+0+6
0071,trace,,detect,10x18+0+6
0072,trace,,detect,8x15+2+6
0073,trace,,detect,10x15+0+6
0074,trace,,detect,9x20+0+1
0075,trace,,detect,10x15+0+6
0076,trace,,detect,10x15+0+6
0077,trace,,detect,10x15+0+6
0078,trace,,detect,10x15+0+6
0079,trace,,detect,10x18+0+6
007A,trace,,detect,9x15+0+6
007B,trace,,detect,8x24+1+0
007C,trace,,detect,2x24+4+0
007D,trace,,detect,8x24+1+0
007E,trace,,detect,10x3+0+0
007F,placeholder,,,
0080,placeholder,,,
0081,placeholder,,,
0082,placeholder,,,
0083,placeholder,,,
0084,placeholder,,,
0085,placeholder,,,
0086,placeholder,,,
0087,placeholder,,,
0088,placeholder,,,
0089,placeholder,,,
008A,placeholder,,,
008B,placeholder,,,
008C,placeholder,,,
008D,placeholder,,,
008E,placeholder,,,
008F,placeholder,,,
0090,placeholder,,,
0091,placeholder,,,
0092,placeholder,,,
0093,placeholder,,,
0094,placeholder,,,
0095,placeholder,,,
0096,placeholder,,,
0097,placeholder,,,
0098,placeholder,,,
0099,placeholder,,,
009A,placeholder,,,
009B,placeholder,,,
009C,placeholder,,,
009D,placeholder,,,
009E,placeholder,,,
009F,placeholder,,,
00A0,scale,,,
00A1,trace,,detect,4x20+3+4
00A2,trace,,detect,10x22+0+2
00A3,trace,,detect,10x20+0+1
00A4,trace,,detect,10x14+0+5
00A5,trace,,detect,10x20+0+1
00A6,trace,,detect,2x24+4+0
00A7,trace,,detect,9x23+1+0
00A8,trace,,detect,8x2+1+0
00A9,trace,,detect,10x15+0+0
00AA,trace,,detect,9x15+1+1
00AB,trace,,detect,9x14+0+6
00AC,trace,,detect,10x6+0+9
00AD,trace,,detect,8x2+1+11
00AE,trace,,detect,10x15+0+0
00AF,trace,,detect,12x2+0+0
00B0,trace,,detect,6x5+2+0
00B1,trace,,detect,10x19+0+1
